operator,stage,classification,knowledge_evidence_tier,artifact_validation,first_speedup,ours_speedup,delta,first_passed,first_total,first_submission_id,first_job_id,ours_job_id
MLA,hidden,hypothesis_only_incomplete_correctness,rejected_incomplete_correctness,hidden_incomplete,1.6207351393158704,0.02,1.6007351393158704,77,80,sub_da7e90781c78,job_c2bc0e8d8abf,job_65fba01e4cc6
MlaProlog,hidden,not_selected,not_selected,hidden_incomplete,0.8566875248463526,0.041,0.8156875248463525,73,80,sub_991215359ec4,job_23d25a31bb7c,job_e3e0d0aeba25
MoeFinalizeRouting,hidden,hypothesis_only_incomplete_correctness,rejected_incomplete_correctness,hidden_incomplete,1.759199458119115,1.522,0.23719945811911503,74,80,sub_a31b9a7396a6,job_4cdf20f30268,job_53962fe88378
MoeGatingTopKSoftmax,hidden,not_selected,not_selected,hidden_full,0.669596328193881,0.48,0.18959632819388106,80,80,sub_d78fc35bf01b,job_193934142093,job_03f181ab977c
MoeReRouting,hidden,not_selected,not_selected,hidden_full,1.9250232489135466,1.95,-0.024976751086453364,80,80,sub_40f3c810606f,job_239ba1641c7a,job_c5f0a10fe51d
NMS,hidden,not_selected,not_selected,hidden_incomplete,0.5247143176598167,0.105,0.4197143176598167,78,80,sub_01e6411bebc0,job_12b95f3be0ab,job_c89d84a1745f
QuantMatmul,hidden,strict_reference,promotion_candidate,hidden_full,1.5125081357303232,0.303,1.2095081357303232,80,80,sub_3e86d9670b10,job_3d349db40425,job_8a8dd50c921b
ResizeBilinear,hidden,hypothesis_only_incomplete_correctness,rejected_incomplete_correctness,hidden_incomplete,6.36190184865491,6.207,0.15490184865491052,77,80,sub_cd9c6ef24855,job_a863e33819dd,job_9d235ae5e803
RmsNorm,hidden,strict_reference,promotion_candidate,hidden_full,1.9285374563144626,1.276,0.6525374563144626,80,80,sub_16b3c07a9a7a,job_f5b37d01e8e6,job_9a925240a740
ROIAlign,hidden,not_selected,not_selected,hidden_incomplete,0.4797537063283616,0.045,0.43475370632836163,79,80,sub_07a76e6b3a93,job_03e5f5e7ce32,job_6ea1ef04d2d9
Scatter,hidden,not_selected,not_selected,hidden_incomplete,0.38486421677371213,0.061,0.32386421677371213,76,80,sub_b2f1d5f198eb,job_3daee96f06ca,job_671f0272f851
Sigmoid,hidden,strict_reference,promotion_candidate,hidden_full,3.8878083174964586,3.232,0.6558083174964584,80,80,sub_1825996b2f3c,job_e7533fd9db5a,job_9eb3f62edd46
Softmax,hidden,strict_reference,promotion_candidate,hidden_full,1.4936302918811406,1.239,0.2546302918811405,80,80,sub_3bb996dbeeaa,job_bff4c3af17e2,job_44d6d2554cb6
SparseFlashAttention,hidden,not_selected,not_selected,hidden_incomplete,0.11648719764977568,0.068,0.048487197649775673,76,80,sub_16ffeb208349,job_c6e5a88ce8d8,job_3221545b535a
StridedSlice,hidden,hypothesis_only_incomplete_correctness,rejected_incomplete_correctness,hidden_incomplete,2.2017718846631347,0.473,1.7287718846631348,79,80,sub_2cab8c9f0aee,job_6e5af19d1175,job_d39de099a2f4
SwiGlu,hidden,strict_reference,promotion_candidate,hidden_full,3.0124117488707745,2.836,0.1764117488707746,80,80,sub_693d85bdf2a8,job_a9472279faf7,job_a690901e68d1
TopK,hidden,not_selected,not_selected,hidden_incomplete,0.33652383520577916,0.189,0.14752383520577916,76,80,sub_6076b4edccb5,job_55e5995ca981,job_159962d4285b
Transpose,hidden,strict_reference,promotion_candidate,hidden_full,1.152942968288524,0.277,0.8759429682885239,80,80,sub_b3f2c15b5719,job_71440d9a297d,job_de02146cafb4
Unique,hidden,not_selected,not_selected,hidden_incomplete,0.16123124399946648,0.017,0.14423124399946646,78,80,sub_77c43d307155,job_c6b4c6ba8e67,job_50192d45a673
UnsortedSegmentSum,hidden,strict_reference,promotion_candidate,hidden_full,1.2001893229191254,0.453,0.7471893229191253,80,80,sub_09bf90d4b2ac,job_6fa622066d63,job_40e01bb8944b
WeightQuantBatchMatmul,hidden,not_comparable_missing_ours_speedup,not_selected,hidden_incomplete,1.5425738591967417,,,45,80,sub_4cd9f4978c9a,job_85bae86f0bff,
